Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,"300, rue Bon Pasteur Case postale 248
Matane, Québec
G4W 3N2",Micheline La-Rue,,418 835-2017,418 835-1866,Sep 26 1909,Québec,financial services - banks and trusts,,Sep 30,"300, rue Bon Pasteur Case postale 248
Matane, Québec
G4W 3N2",No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,La Confédération des caisses populaires et d'économie Desjardins du Québec,,,"Under $5,000,000"
Caisse populaire Desjardins de Saint-Vallier,https://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00006762,Québec,Micheline La-Rue,,418 835-2017,418 835-1866,Nov 15 1942,Québec,financial services - banks and trusts,,Jan 31,Québec,No filing is or has previously been made under the MRRS Prospectus Policy,No,Ceased Reporting,N/A,,La Confédération des caisses populaires et d'économie Desjardins du Québec,,,"$5,000,001 to $25,000,000"
